freq,H
9.89530235528946,-1.05493231e-04
12.689270079135895,-7.48342915e-04
16.065314412117004,0.00000000e+00
20.372681319713593,-2.09002341e-03
25.84420144557953,-4.37639170e-03
32.82912075519562,-6.93168062e-03
41.676685214042664,-6.10499080e-03
52.96897143125534,-7.06103981e-03
67.17164069414139,-8.42543563e-03
85.21601557731628,-1.25753462e-02
108.14983397722244,-1.06812066e-02
137.37007975578308,-1.10707435e-02
174.27373677492142,-1.17969067e-02
221.18911147117615,-1.19176100e-02
280.67734092473984,-1.70530179e-02
356.1144694685936,-3.16322065e-02
451.92427933216095,-6.17012819e-02
573.5782906413078,-1.18662364e-01
727.8285920619965,-2.14524285e-01
923.6391633749008,-3.64948022e-01
1172.0694601535797,-5.96633496e-01
1487.3221516609192,-9.36708381e-01
1887.3251974582672,-1.41919255e+00
2395.01241594553,-2.06915719e+00
3039.1383916139603,-2.89812281e+00
3856.6067814826965,-3.89305048e+00
4893.867298960686,-5.01206120e+00
6210.058927536011,-6.19650023e+00
7880.3859651088715,-7.37896665e+00
9999.959729611874,-8.49963993e+00
