,,,,
Setup:,"Big, Big, Medium, Medium, Small",,,
,,,,
,,,,
f,CH1,CH2,Ratio,dB
10,8.5,12.5,1.47058823529412,1.67491087293764
12,11.7,21.4,1.82905982905983,2.62227911603029
14,11.7,27.5,2.35042735042735,3.71146832084101
15,11,28.8,2.61818181818182,4.17999802601006
16,10.6,30.9,2.91509433962264,4.64652614160064
17,10.4,34.9,3.35576923076923,5.257920876604
18,8.87,29.3,3.3032694475761,5.18944000522383
20,10.8,32.8,3.03703703703704,4.82450088224729
22,28.2,63.5,2.25177304964539,3.52524616972615
24,42.8,73.6,1.7196261682243,2.35434045324327
26,51.5,73.6,1.42912621359223,1.55070585296308
28,99.2,117,1.17943548387097,0.71674189591983
30,96.6,103,1.06625258799172,0.278600982896788
35,73.8,63.3,0.857723577235772,-0.666526518056865
40,47.4,36.7,0.774261603375528,-1.11112277421996
50,32.4,22.1,0.682098765432099,-1.66152736521501
60,28,14.8,0.528571428571429,-2.76896315947262
70,26.7,12,0.449438202247191,-3.4733001531695
80,28.7,8.98,0.312891986062718,-5.04605560066688
90,25.5,7.2,0.282352941176471,-5.49207684002687
100,22.7,5.6,0.246696035242291,-6.07837830186922
110,30.9,5.2,0.168284789644013,-7.73955135790035
120,28.9,3.9,0.134948096885813,-8.69833235730049
130,27.5,3.5,0.127272727272727,-8.95264649479987
140,25.8,3.1,0.12015503875969,-9.20258012128958
150,24.8,2.8,0.112903225806452,-9.47293649483997
160,38.2,3,0.078534031413613,-11.0494210819205
170,38.2,2.7,0.070680628272251,-11.5069959875272
180,39.5,2.8,0.070886075949367,-11.4943906428424
190,41.2,2.6,0.063106796116505,-11.9992386806232
200,30.2,2.6,0.086092715231788,-10.6503359498633
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Setup:,"Big, Medium, Small",,,
,,,,
f,CH1,CH2,Ratio,dB
10,6.2,7.5,1.20967741935484,0.826695738934462
12,14.6,20.9,1.43150684931507,1.55793430326617
14,11.2,18.6,1.66071428571429,2.20294921547735
15,14.1,24.5,1.73758865248227,2.39946971709153
16,13.3,24.6,1.84962406015038,2.67083466136293
17,12.3,24.3,1.97560975609756,2.95701162158914
18,11.8,24.6,2.08474576271186,3.19053099797254
19,12,28,2.33333333333333,3.67976785294594
20,12.6,32.7,2.5952380952381,4.14177207542723
21,13.5,37.3,2.76296296296296,4.41375063313681
22,14.5,43.8,3.02068965517241,4.80106108269125
23,16.5,50.3,3.04848484848485,4.84084040842021
24,19.8,59.1,2.98484848484848,4.74922290619724
25,24,69,2.875,4.58637849025649
26,19.1,51.3,2.68586387434555,4.29083997864089
28,20.4,46.7,2.28921568627451,3.59686713140213
30,19.8,38.4,1.93939393939394,2.87666034106
35,17.8,23.6,1.32584269662921,1.22492000661213
40,36.2,34.9,0.964088397790055,-0.158831435739858
50,32.4,23.5,0.725308641975309,-1.39477147934876
60,27.8,15.5,0.557553956834532,-2.53713097747785
70,32.2,14.9,0.462732919254658,-3.34669603283557
80,28.1,10.8,0.384341637010676,-4.1528256441813
90,34.5,13.5,0.391304347826087,-4.07485326578268
100,32.8,10.9,0.332317073170732,-4.78447345771055
120,31.2,5.97,0.191346153846154,-7.18180262889074
140,28.2,3.98,0.14113475177305,-8.50366036245673
160,28.2,3.4,0.120567375886525,-9.18770191277106
180,29.2,3.28,0.112328767123288,-9.49509007736739
200,31.4,3.15,0.10031847133758,-9.98619094283614
,,,,
,,,,
,,,,
Setup:,"Small, Medium, Medium, Big, Big",,,
,,,,
f,CH1,CH2,Ratio,dB
10,8.9,13.5,1.51685393258427,1.80943761850093
12,10,19.5,1.95,2.90034611362518
13,13.2,29.9,2.26515151515152,3.5509725711858
14,8.9,22.4,2.51685393258427,4.0085801168925
15,11.5,33.6,2.92173913043478,4.65641437036232
16,8.6,26.5,3.08139534883721,4.8874742269324
17,12.3,43.1,3.50406504065041,5.44572158721334
18,11.4,35.1,3.07894736842105,4.88402265129352
19,15.2,44.4,2.92105263157895,4.65539382169847
20,15.7,37.9,2.4140127388535,3.82739557558839
21,16,34,2.125,3.2735893438633
22,32.2,55,1.70807453416149,2.32506817798413
24,48,63.1,1.31458333333333,1.18788121868547
26,34.2,38.6,1.12865497076023,0.525611986156199
28,63.8,60.2,0.943573667711599,-0.252241874633378
30,69.2,58.2,0.841040462427746,-0.751831098068693
35,49.5,33.8,0.682828282828283,-1.65688498655914
40,92.7,54.8,0.591154261057174,-2.28299175660128
50,62.9,33.1,0.526232114467409,-2.7882265166955
60,61.3,32.8,0.535073409461664,-2.71586630806736
70,42.5,17.9,0.421176470588235,-3.75535899070418
80,47.4,13.1,0.276371308016878,-5.58507046018321
90,42.2,9.48,0.224644549763033,-6.48504113623608
100,36.8,7.04,0.191304347826087,-7.18275159531405
120,29.4,4.4,0.149659863945578,-8.2489465392597
140,25.7,3.6,0.140077821011673,-8.53630622564007
160,25,3.28,0.1312,-8.82066164960358
180,26.2,3.37,0.128625954198473,-8.90671390448407
200,28.6,3.2,0.111888111888112,-9.51216054809137
